experiment_id,sample_id,flow_id,repeat_id,status,candidate_accepted,readability_variables,readability_loops,readability_conditions,readability_logic_flow,readability_structure,readability_overall,readability_variables_rationale,readability_loops_rationale,readability_conditions_rationale,readability_logic_flow_rationale,readability_structure_rationale,readability_summary,readability_rubric_version,readability_source_sha256,readability_evaluated_at,readability_correctness_assessed,evaluator_id,evaluation_method,original_sloc,recovered_sloc,sloc_ratio
experiment_20260801_182616,p00033,F3,0,PASS,True,3,4,4,4,4,3.8,"Names like N,A,B,C are terse, but roles stay mostly scoped and traceable.","Nested loops use conventional counters and clear bounds, despite heavy nesting.","Predicates are direct, readable, mostly simple comparisons and boolean flags.",Control flow is linear with early input exits and one clear search break.,"Single main is coherent C with standard arrays and allocation, though no helper functions.","Readable conventional C, limited by terse variable names and compact all-in-main structure.",source-readability-1-to-5-v1,01eea342a1c5faa44a4896bb630a6ab683ade30895966ddb9ce89ccde13191aa,2026-08-03T11:06:54.734337+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00033,F4,0,PASS,True,3,4,4,4,4,3.8,"Names like N, A, B, C, k1, k2 obscure roles, though scopes stay tight.","Nested loops are regular, bounded, readable despite dense partition enumeration.","Predicates are simple, direct, mostly high-level, with clear is_sorted helper.","Control flow is linear, no goto noise, early returns simple, break understandable.","C organization is coherent with helper function, standard includes, conventional main layout.","Readable structure, clear flow, weak naming, dense temporary arrays.",source-readability-1-to-5-v1,a05c4992392802901bf18fbef8756c8230c636d87ac4f09223e1ff32dca145cf,2026-08-03T11:06:58.571374+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00165,F1,0,PASS,True,1,2,2,2,1,1.6,"Names mostly compiler artifacts like v30, sink_i48, indvars_iv, ptr_a obscure roles.","Loops are structured while loops, but state mutates through memory slots and opaque temporaries.","Predicates include readable comparisons, but boolean artifacts like not1698_i and deobf_slt1054_i add noise.","Control flow is linear enough, but nested infinite loops with breaks and memory-based state hinder tracing.","Single large main, raw memory model, casts, guest address resolver dominate over coherent C data structures.","Recovered low-level C remains artifact-heavy; basic structure visible, human intent mostly obscured.",source-readability-1-to-5-v1,0a0a3d0dccd44f80380ce7ff943679f66863cf4885e273c356fed0e5a8ff7e61,2026-08-03T11:07:00.265648+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00165,F2,0,PASS,True,1,2,2,2,1,1.6,"Names mostly v-number temporaries, ptr-number aliases, magic offsets; roles opaque.","Loops use while(1), manual breaks, hidden state in raw memory; some iteration patterns visible.","Predicates contain deobfuscation artifacts, casts, select temporaries; simple scanf checks readable.","Single main avoids dispatcher noise, but nested loops, memory-backed state, repeated loads obscure flow.","Program dominated by global byte arrays, pointer punning, hard-coded offsets; no coherent data model.",Readable as decompiled C only; low-level artifacts dominate source.,source-readability-1-to-5-v1,7a3b8d74859f7ffcb94afc03a0192154dd0fc60f06b133ce49e9db2d1fbfd422,2026-08-03T11:06:58.892441+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00165,F3,0,PASS,True,4,4,4,4,4,4.0,"Names mostly meaningful, roles clear, scopes tight, only brief generic counters remain.","Loops conventional, bounds visible, iteration state easy to track.","Predicates simple, direct, low-level boolean artifacts minimal.","Control flow linear, no goto noise, input loop clear.","Single coherent C function, global arrays understandable, organization conventional.","Readable conventional C with clear sieve, prefix counts, query processing; minor magic constants, compact naming reduce clarity.",source-readability-1-to-5-v1,6e743b48d7e6586e26767b8c9420009b6479eee3eebb904a031ae26be8eb5c10,2026-08-03T11:06:58.631300+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00165,F4,0,PASS,True,1,2,2,2,1,1.6,"Names mostly compiler artifacts like v30, ptr_sel15, indvars_iv; roles opaque; temporaries excessive.",Loops use while(true) with manual breaks; some iteration patterns visible but state scattered through memory slots.,"Predicates contain low-level boolean arithmetic, casts, magic thresholds; intent mostly hidden.","Single main has nested loops, repeated memory indirection, artificial state updates; flow traceable only locally.","Program dominated by residual arrays, raw offsets, casts, fake address resolver; no coherent domain types or functions.",Readable as recovered low-level C only; human-level structure largely absent.,source-readability-1-to-5-v1,5274a38c746cbd0a25f440a98c8a39e9c26d2c0a018ad6198b5ec70f442a8824,2026-08-03T11:06:59.120949+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00165,F5,0,PASS,True,4,4,4,5,5,4.4,"Names mostly clear, though pi, N, ans, x, y remain terse contest-style.","Loops conventional, bounded, easy to trace.","Predicates simple, direct, low artifact noise.","Control flow linear, no goto, clear input loop plus processing loop.","Two coherent functions, simple globals, conventional C organization.","Readable compact C, contest terseness present but structure clear.",source-readability-1-to-5-v1,d855683032ba0a9b284ba2d1d016f265464b3cc4403a557c427ebfa7baa5f901,2026-08-03T11:07:01.410876+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00327,F1,0,PASS,True,3,4,3,3,4,3.4,"Names `a`, `dp`, `i`, `j`, `k` terse; roles inferable from loop context only.","Nested `for` loops conventional; `len`, `i`, `j`, `k` state mostly traceable.",Predicates readable but deeply nested; `dp` as `char` boolean obscures intent.,"No goto noise; flow structured, yet dense DP transitions hard to follow.","Single coherent C function, global arrays simple, organization conventional.","Readable recovered C with conventional structure, terse names, dense dynamic-programming logic.",source-readability-1-to-5-v1,c4eb7118f4dbb168272eb9491d37ab4d22c2631434c7f929ae8d34ae44dbfd5a,2026-08-03T11:06:59.672567+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00327,F2,0,PASS,True,3,4,3,4,4,3.6,"A, dp, i, j, k terse, but roles mostly inferable from compact DP code.","Nested loops use standard bounds, len/i/k iteration readable despite dense indexing.","Predicates are C-like, but repeated nested dp and A index checks obscure intent.","Straight-line main, no goto, clear phases for input, initialization, DP, output.","Conventional C organization with globals and one main, coherent arrays, simple includes.","Readable competitive-programming DP style, terse names, dense predicates, clean control structure.",source-readability-1-to-5-v1,b18361a4755a37c6258a099d0a619679b5cdf9c51e17d207d851a2304d48caf9,2026-08-03T11:06:58.884316+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00327,F3,0,PASS,True,3,4,3,4,4,3.6,"Names A, dp, i, j, k terse; roles inferable from DP pattern; scope mostly tight.","Nested for loops conventional; len, i, j, k state recognizable despite dense nesting.",Predicates mostly C-like; compound dp bitwise boolean updates obscure intent.,Straight-line main; early input exits; no goto or dispatcher noise; recurrence dense.,Coherent single-file C; globals simple; organization conventional though no helper functions.,"Readable conventional C with compact DP logic, terse names, sparse abstraction.",source-readability-1-to-5-v1,112ae8c1113da344b99698813d11d868d8f2d1e7e948e593c45e77d2ce99d060,2026-08-03T11:06:59.748626+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00327,F4,0,PASS,True,3,4,3,4,4,3.6,"Names like n, A, dp, k, col, curr are terse but roles become inferable from scope and use.","Nested for loops use conventional bounds and progression, though dynamic-programming indices require effort.","Predicates are plain C boolean checks, but dense dp index conditions reduce readability.","Single main path, early returns, no gotos; nested recurrence blocks still somewhat intricate.","Coherent simple C organization with globals, one main function, standard arrays, no artifact-heavy structure.",Readable conventional C with terse names and dense DP logic as main clarity costs.,source-readability-1-to-5-v1,04bea2ce258c3b20333b16552825d594bff534595ce9500873ef85de48640f03,2026-08-03T11:07:00.556369+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00327,F5,0,PASS,True,3,4,4,4,4,3.8,"N clear, but A, grid, i, j, k, len terse with limited role signaling.","Nested interval loops use conventional bounds, readable progression.","Predicates simple, C-like, no low-level artifacts, though grid meaning implicit.","Straight-line main, early input exits, no goto or dispatcher noise.","Coherent small C program with globals and one focused main, conventional layout.","Readable dynamic-programming style code, limited mainly by terse names and implicit data meaning.",source-readability-1-to-5-v1,4aeab0232d80a01355e62a9beda857265e0af2c209e27b1b93a9f5606aaddc50,2026-08-03T11:07:02.645340+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00678,F1,0,PASS,True,3,5,4,5,4,4.2,"Names like A, B, C, N, x, y obscure roles, but scopes and temporaries stay manageable.","For loops use clear bounds and iteration variables, with simple scan and ternary-search structure.","Predicates are direct comparisons with little boolean noise, though compact input loop condition combines concerns.","Control flow is straight-line, function-based, no goto or dispatcher artifacts.","Code is coherent C with separated helper functions, though global arrays and placeholder __gmon_start__ reduce cleanliness.","Readable recovered C; algorithm structure clear, naming generic.",source-readability-1-to-5-v1,cee7b2d58f1a9cbe7350be23bc7ea87b3e6a6a4e9ce2874ab68bf28914f10bd8,2026-08-03T11:07:03.018645+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00678,F3,0,PASS,True,3,4,4,4,4,3.8,"Globals x, y, v, ans plus short t, u, l, r, m1, m2 reduce clarity, though max_time, dist, time help.","For loops use simple bounds, fixed iteration counts, clear per-point scan.",Predicates are direct comparisons with no low-level boolean noise.,"Control flow is straight nested function calls, no goto, no dispatcher artifacts.","Functions split objective evaluation, inner search, outer search, input driver coherently.","Readable conventional C, but terse names and global state limit clarity.",source-readability-1-to-5-v1,987b9166477b56bba52d41181f263b8961012c7d29f50c8e77d359e2cd58fdd9,2026-08-03T11:07:02.958342+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00678,F4,0,PASS,True,4,5,5,5,4,4.6,"Names mostly clear for algorithm roles, though R, r, x, y, w stay terse.","Loops simple bounded for-loops, input loop readable.","Predicates direct comparisons, no boolean artifacts.","Control flow linear, helper decomposition clear, no goto noise.","Functions coherent, C organization clean, globals simple but reduce encapsulation.","Readable conventional C with clear search structure, minor terseness in naming.",source-readability-1-to-5-v1,c66acc063dc1555e7e487aff6a6ca9c8efd597cb6f3cca6b3b45604b4c2a20a2,2026-08-03T11:07:04.471664+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00678,F5,0,PASS,True,4,5,5,5,4,4.6,"Names mostly clear for algorithm roles, though x, y, r, t, p stay terse.",Loops are simple bounded for-loops with clear indices and iteration counts.,Predicates are direct comparisons with no boolean artifacts.,"Control flow is linear, nested cleanly, no goto or dispatcher noise.","Functions are coherent and C-like, though globals and terse helper names reduce clarity.","Readable conventional C with clear numeric-search structure, minor naming terseness.",source-readability-1-to-5-v1,67088c9883adb89b34e30cfdf9d927b5cea6d27b28ecdaa9531d90b206e1d51e,2026-08-03T11:07:03.164687+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00693,F1,0,PASS,True,4,4,4,4,4,4.0,"Names mostly clear, though str1/str2/str3 and val stay generic.","For-loops simple, bounded, conventional, with clear indices.","Predicates readable, with match helper reducing clutter.","Control flow linear, no goto, no dispatcher noise.","Structs, globals, helper, main organization coherent C.",Readable conventional C with some generic field names.,source-readability-1-to-5-v1,224043710657d9aa0cf45165e72e15e395d6d88af0452fa83f3ce3b64d840497,2026-08-03T11:07:07.373095+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00693,F2,0,PASS,True,4,4,4,4,4,4.0,"Names mostly clear, but name1/name2/name3 generic.","Simple bounded for loops, conventional indices, readable nesting.","Predicates straightforward, few boolean artifacts.","Linear flow, early input exits, no goto noise.","Coherent structs, globals, helper function, conventional C layout.",Readable conventional C with mild generic naming.,source-readability-1-to-5-v1,707fc00776bb2a9f7dbdbfe8a0dcd1b9eabfd5bbf7f7356a99c0dd802f79cebe,2026-08-03T11:07:03.090416+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00693,F3,0,PASS,True,4,4,4,4,4,4.0,"Names mostly clear: elements, queries, action, ans; str1/str2/str3 vague.","Loops conventional bounded for loops; nesting simple, indices readable.",Predicates direct; wildcard match logic easy to read.,"Control flow linear; no goto, dispatcher noise, low-level artifacts.","Clear structs, helper function, main organization; fixed arrays limit polish.","Readable conventional C; minor naming vagueness, compact contest style.",source-readability-1-to-5-v1,6e5a683193a6616da52e5411cf83554923012035818ece86d8e74c16565ef3e1,2026-08-03T11:07:06.999261+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00693,F4,0,PASS,True,4,5,4,5,4,4.4,Names clear enough; str1/str2/str3 generic but roles mostly local.,Simple bounded for loops; indices conventional; nesting easy follow.,Predicates readable; match logic direct; sentinel condition clear.,Straight-line input-process-output flow; no goto or dispatcher noise.,"Coherent structs, helper function, globals; organization conventional C.",Readable conventional C with minor generic naming.,source-readability-1-to-5-v1,cd8bdb6299453b767f5ae9d4f62ebd7d6e200e44e6f5d5ed91d8b891adc8574a,2026-08-03T11:07:04.349494+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00693,F5,0,PASS,True,4,4,4,4,4,4.0,"Names mostly clear, though t1, t2, s1, s2, s3 remain vague.",Loops simple bounded for-loops with clear indices and nesting.,"Predicates readable, with match logic decomposed into helper function.","Control flow linear, no goto, minimal state tracking via matched_any and last_match_type.","Types and helper function give coherent C-like organization, despite global fixed arrays.",Readable conventional C with minor naming vagueness and fixed-size global structure.,source-readability-1-to-5-v1,bd9e4fefc71591fffaff4bd150b4acf2e5444cf2eebc9d7c8498d78ce9a7395a,2026-08-03T11:07:05.542527+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00788,F1,0,PASS,True,2,3,3,3,3,2.8,"Many names remain decompiler-like, e.g. v57, s_848, sroa, obscuring roles despite limited scope.","Loops are structured with while and for, but integer_sqrt uses while(1) plus nested state changes.","Predicates are mostly direct C expressions, but heavy casts and artifact checks reduce clarity.","Control flow is followable, with no gotos, yet abort/raise paths and nested branches add noise.","Functions are coherent and C-like, but decompiler artifacts, unused globals, mixed signedness weaken structure.","Readable skeleton recovered, but artifact naming, casts, low-level safety checks keep source mid-level.",source-readability-1-to-5-v1,62d8bdf3bd586ec785a93e694d00b48a1e4f87bf5d7394017d7d6d646e8514e5,2026-08-03T11:07:06.952264+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00788,F2,0,PASS,True,3,4,4,4,4,3.8,"Some roles clear, but artifacts like s_860, s_832, v53, v54, v21, v27 reduce readability.",Main for loop and input loop clear; helper loops recognizable despite while(1).,"Predicates mostly direct, with few cast-heavy overflow checks in helpers.","Control flow structured, no goto or dispatcher noise, exits localized in helpers.","Functions coherent and C-like, though decompiler artifacts and unused globals remain.","Readable recovered C with clear main structure, moderate naming artifacts, some low-level helper noise.",source-readability-1-to-5-v1,ea884d791f40c906e20de28512dd2d3996d6c8bd7d1a5edff8db2a41b300935a,2026-08-03T11:07:09.722933+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00788,F3,0,PASS,True,3,3,3,4,3,3.2,"Names like D,N,S,U_num,L_den partly convey roles, but temp_a,temp_b,g1,g2 obscure purpose.","Input loop and for-loop clear, but while(1) loops with breaks reduce readability.","Predicates are mostly direct arithmetic checks, but repeated casts and raise guards add artifact noise.","Control flow is linear with no gotos, though nested blocks and break-driven loops add friction.","Single coherent main, standard C organization, but duplicated gcd logic and no helper functions hurt structure.","Readable recovered C with clear high-level flow, still artifact-heavy in naming, loops, duplicated arithmetic blocks.",source-readability-1-to-5-v1,7cc15ce3e4dadfea9dece8e12b1e1eb36d889816037820ce2115028b1c7f68a3,2026-08-03T11:07:07.562607+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00788,F4,0,PASS,True,2,4,3,4,4,3.4,"Many roles clear, but names like v67, v78, narrow1166 obscure intent.",Loops are structured while/for forms with readable bounds and state.,"Predicates mostly direct, though cast-heavy comparisons reduce clarity.","Control flow is linear, function-separated, no goto or dispatcher noise.","Coherent C functions and simple globals, though decompiler-style helpers remain.","Readable recovered C with clear structure, but artifact names and casts hurt clarity.",source-readability-1-to-5-v1,46c83b5ab88b8218fce7718bc461cf92e733f8f4461d7de35f11a7f74f106cf8,2026-08-03T11:07:07.102668+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00788,F5,0,PASS,True,3,4,4,4,4,3.8,"Names like A, B, i, res, num1, den1 obscure domain roles, though scopes stay tight and temporaries stay limited.","Input loop, bounded for loop, Euclidean loop, Newton loop are recognizable with simple state.","Predicates are mostly direct and readable, with some dense arithmetic comparisons.","Control flow is linear, function-based, no goto or dispatcher noise.","Code has coherent small functions and conventional C organization, despite sparse naming.","Readable conventional C with clear structure, weakened mainly by terse variable names and unexplained numeric intent.",source-readability-1-to-5-v1,812d11fbae1c22863e23a7cdaeecfd21c71f6791269ff5437009f87a96ec0661,2026-08-03T11:07:07.262212+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00793,F1,0,PASS,True,4,4,4,4,5,4.2,"Names mostly clear: Point, A, B, C, dx, dy, count, area; S/E terse but local.",Loops conventional; polygon traversal state readable.,"Predicates simple; side tests clear, no boolean noise.","Control flow direct; early returns, no goto, no dispatcher artifacts.",Coherent Point type plus focused functions; C organization clean.,Readable conventional C with minor terse geometry variables.,source-readability-1-to-5-v1,ad79f100d97ee9d98609fbd313f077403929e4de79f7de20eaf49128fed4b442,2026-08-03T11:07:08.853887+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00793,F3,0,PASS,True,4,5,4,5,5,4.6,"Names mostly descriptive, with short geometry names like u, v, a, b acceptable but slightly terse.","Loops simple bounded for-loops plus clear input while-loop, with obvious iteration state.","Predicates use named booleans and readable branches, though EPS comparisons add minor opacity.","Control flow linear, function decomposition clear, no goto or dispatcher noise.","Coherent Point type, geometry helpers, polygon clipping, area, main organized conventionally.","Readable conventional C with clear structure, simple control flow, minor terse geometry naming.",source-readability-1-to-5-v1,3a05bce0bea476164e1f214f032d9b079ac2cf5aff7b1880b4ef2950fff36227,2026-08-03T11:07:08.725712+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00793,F4,0,PASS,True,4,4,4,5,4,4.2,"Names mostly descriptive, roles scoped, few opaque buffers remain.","Loops simple, bounded, idiomatic, state easy to track.","Predicates readable, boolean flags clarify inside/outside tests.","Control flow linear, no goto noise, function sequence clear.","Functions coherent, organization C-like, raw coordinate arrays reduce clarity.","Readable recovered C with clear geometry stages, minor array-representation opacity.",source-readability-1-to-5-v1,65c74842883d393c057fd4c50a2c98f5b1b3dde02419535d190b34e0813ee979,2026-08-03T11:07:09.320259+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00859,F1,0,PASS,True,2,4,4,4,3,3.4,"Globals keep artifact names like native_object_405050, obscuring roles despite local names like N, M, root_u.","Nested for loops express input loading, initialization, edge scanning clearly with simple indices.","Predicates are direct, C-like, mostly readable, with little boolean artifact noise.","Control flow is structured with functions, loops, breaks, no goto or dispatcher noise.","Element type, parse_int, find, main form coherent C, but artifact globals and __gmon_start__ weaken organization.","Readable algorithm skeleton remains clear, but recovered naming artifacts reduce human clarity.",source-readability-1-to-5-v1,149819fb0453f696ed16c544f7970bf32a26c690626e5c4b420f5205a3613a21,2026-08-03T11:07:15.510371+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260801_182616,p00859,F3,0,PASS,True,4,4,4,4,4,4.0,"Names mostly clear: edges, parent, rank_arr, root_u, root_v; terse N, M, ans acceptable contest style.","Loops are conventional for input, initialization, edge scan, MST window search; nesting readable despite depth.","Predicates are simple: EOF, sentinel, root mismatch, count completion, ans update.","Control flow is direct, no goto noise, helper functions isolate parsing and union-find steps.","Code has coherent Edge type, global arrays, compare/find/union/parse helpers, conventional C organization.","Readable contest-style C; compact names, nested loops, clear structure.",source-readability-1-to-5-v1,82ec8c50bef2949b138e33982b5f7dcd1f7010297e164866e0658fd96e66a0ae,2026-08-03T11:07:12.583819+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
