comparison,n,left_pass_right_fail,left_fail_right_pass,paired_pass_rate_delta,paired_delta_ci95_low,paired_delta_ci95_high,mcnemar_exact_p,status_transitions
B1_vs_F3-O3,40,2,0,-0.05,-0.125,0.0,0.5,"{'INCONCLUSIVE->FAIL_BEHAVIORAL': 1, 'PASS->FAIL_BEHAVIORAL': 1, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 37}"
B2_vs_B3,40,0,32,0.8,0.675,0.925,4.656612873077393e-10,"{'FAIL_BEHAVIORAL->FAIL_BEHAVIORAL': 2, 'FAIL_BEHAVIORAL->PASS': 30, 'FAIL_COMPILE->PASS': 2, 'PASS->PASS': 6}"
B2_vs_F3-O1,40,0,32,0.8,0.675,0.925,4.656612873077393e-10,"{'FAIL_BEHAVIORAL->FAIL_BEHAVIORAL': 1, 'FAIL_BEHAVIORAL->INCONCLUSIVE': 1, 'FAIL_BEHAVIORAL->PASS': 30, 'FAIL_COMPILE->PASS': 2, 'PASS->PASS': 6}"
B2_vs_F3-O2,40,0,32,0.8,0.675,0.925,4.656612873077393e-10,"{'FAIL_BEHAVIORAL->FAIL_BEHAVIORAL': 1, 'FAIL_BEHAVIORAL->INCONCLUSIVE': 1, 'FAIL_BEHAVIORAL->PASS': 30, 'FAIL_COMPILE->PASS': 2, 'PASS->PASS': 6}"
B2_vs_F3-O3,40,0,31,0.775,0.65,0.9,9.313225746154785e-10,"{'FAIL_BEHAVIORAL->FAIL_BEHAVIORAL': 2, 'FAIL_BEHAVIORAL->INCONCLUSIVE': 1, 'FAIL_BEHAVIORAL->PASS': 29, 'FAIL_COMPILE->PASS': 2, 'PASS->PASS': 6}"
B3_vs_F3-O1,40,2,2,0.0,-0.1,0.1,1.0,"{'FAIL_BEHAVIORAL->PASS': 2, 'PASS->FAIL_BEHAVIORAL': 1, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 36}"
B3_vs_F3-O2,40,2,2,0.0,-0.1,0.1,1.0,"{'FAIL_BEHAVIORAL->PASS': 2, 'PASS->FAIL_BEHAVIORAL': 1, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 36}"
B3_vs_F3-O3,40,3,2,-0.025,-0.125,0.075,1.0,"{'FAIL_BEHAVIORAL->PASS': 2, 'PASS->FAIL_BEHAVIORAL': 2, 'PASS->INCONCLUSIVE': 1, 'PASS->PASS': 35}"
F3-O1_vs_F3-O2,40,1,1,0.0,-0.075,0.075,1.0,"{'FAIL_BEHAVIORAL->PASS': 1, 'INCONCLUSIVE->INCONCLUSIVE': 1, 'PASS->FAIL_BEHAVIORAL': 1, 'PASS->PASS': 37}"
F3-O1_vs_F3-O3,40,1,0,-0.025,-0.075,0.0,1.0,"{'FAIL_BEHAVIORAL->FAIL_BEHAVIORAL': 1, 'INCONCLUSIVE->INCONCLUSIVE': 1, 'PASS->FAIL_BEHAVIORAL': 1, 'PASS->PASS': 37}"
F3-O2_vs_F3-O3,40,2,1,-0.025,-0.1,0.05,1.0,"{'FAIL_BEHAVIORAL->PASS': 1, 'INCONCLUSIVE->INCONCLUSIVE': 1, 'PASS->FAIL_BEHAVIORAL': 2, 'PASS->PASS': 36}"
