submission_id,token_count,file_size_bytes,clean_source,obfuscated_binary,dataset_split
n26081519,,,data/own_dataset/src/h00019/n26081519.c,data/own_dataset/obfuscated/h00019/n26081519_fla_bcf_instsub.elf,own_v1
n26081520,,,data/own_dataset/src/h00020/n26081520.c,data/own_dataset/obfuscated/h00020/n26081520_fla_bcf_instsub.elf,own_v1
n26081521,,,data/own_dataset/src/h00021/n26081521.c,data/own_dataset/obfuscated/h00021/n26081521_fla_bcf_instsub.elf,own_v1
n26081522,,,data/own_dataset/src/h00022/n26081522.c,data/own_dataset/obfuscated/h00022/n26081522_fla_bcf_instsub.elf,own_v1
n26081523,,,data/own_dataset/src/h00023/n26081523.c,data/own_dataset/obfuscated/h00023/n26081523_fla_bcf_instsub.elf,own_v1
n26081524,,,data/own_dataset/src/h00024/n26081524.c,data/own_dataset/obfuscated/h00024/n26081524_fla_bcf_instsub.elf,own_v1
n26081525,,,data/own_dataset/src/h00025/n26081525.c,data/own_dataset/obfuscated/h00025/n26081525_fla_bcf_instsub.elf,own_v1
n26081526,,,data/own_dataset/src/h00026/n26081526.c,data/own_dataset/obfuscated/h00026/n26081526_fla_bcf_instsub.elf,own_v1
n26081527,,,data/own_dataset/src/h00027/n26081527.c,data/own_dataset/obfuscated/h00027/n26081527_fla_bcf_instsub.elf,own_v1
n26081528,,,data/own_dataset/src/h00028/n26081528.c,data/own_dataset/obfuscated/h00028/n26081528_fla_bcf_instsub.elf,own_v1
n26081529,,,data/own_dataset/src/h00029/n26081529.c,data/own_dataset/obfuscated/h00029/n26081529_fla_bcf_instsub.elf,own_v1
n26081530,,,data/own_dataset/src/h00030/n26081530.c,data/own_dataset/obfuscated/h00030/n26081530_fla_bcf_instsub.elf,own_v1
n26081531,,,data/own_dataset/src/h00031/n26081531.c,data/own_dataset/obfuscated/h00031/n26081531_fla_bcf_instsub.elf,own_v1
n26081532,,,data/own_dataset/src/h00032/n26081532.c,data/own_dataset/obfuscated/h00032/n26081532_fla_bcf_instsub.elf,own_v1
n26081533,,,data/own_dataset/src/h00033/n26081533.c,data/own_dataset/obfuscated/h00033/n26081533_fla_bcf_instsub.elf,own_v1
n26081534,,,data/own_dataset/src/h00034/n26081534.c,data/own_dataset/obfuscated/h00034/n26081534_fla_bcf_instsub.elf,own_v1
n26081535,,,data/own_dataset/src/h00035/n26081535.c,data/own_dataset/obfuscated/h00035/n26081535_fla_bcf_instsub.elf,own_v1
n26081536,,,data/own_dataset/src/h00036/n26081536.c,data/own_dataset/obfuscated/h00036/n26081536_fla_bcf_instsub.elf,own_v1
n26081537,,,data/own_dataset/src/h00037/n26081537.c,data/own_dataset/obfuscated/h00037/n26081537_fla_bcf_instsub.elf,own_v1
n26081538,,,data/own_dataset/src/h00038/n26081538.c,data/own_dataset/obfuscated/h00038/n26081538_fla_bcf_instsub.elf,own_v1
n26081539,,,data/own_dataset/src/h00039/n26081539.c,data/own_dataset/obfuscated/h00039/n26081539_fla_bcf_instsub.elf,own_v1
n26081540,,,data/own_dataset/src/h00040/n26081540.c,data/own_dataset/obfuscated/h00040/n26081540_fla_bcf_instsub.elf,own_v1
